id,longitude,latitude,lsoa_location,police_force,date,severity,vehicles,casualties,road_type,speed_limit,weather,road_conditions,human_crossing
12439,-3.168658,51.483477,W01001695,62,2018-12-10,2,1,1,3,30,1,0,0
12440,-3.547859,51.509226,W01000979,62,2018-12-13,2,1,1,6,30,1,0,0
12441,-3.240433,51.489718,W01001752,62,2018-12-12,3,1,1,6,30,1,0,0
12442,-3.397944,51.769431,W01001324,62,2018-12-11,3,2,1,6,30,1,0,0
12443,-3.99485,51.67652,W01000837,62,2018-12-16,3,1,1,3,70,2,0,0
12444,-3.965868,51.618189,W01000874,62,2018-12-14,3,1,1,6,30,1,0,0
12445,-3.781653,51.597731,W01000950,62,2018-12-01,3,2,1,1,30,1,0,0
12446,-3.781676,51.678024,W01000887,62,2018-12-08,3,1,1,1,30,2,0,0
12447,-3.136203,51.527128,W01001816,62,2018-12-17,3,2,1,6,30,1,0,0
12448,-3.391397,51.767207,W01001898,62,2018-12-15,3,1,2,6,60,2,0,0
12449,-3.19634,51.460421,W01001947,62,2018-12-17,2,2,1,6,40,1,0,0
12450,-3.219179,51.50449,W01001786,62,2018-12-14,3,1,1,6,30,1,0,0
12451,-3.791981,51.591621,W01000932,62,2018-12-15,3,1,1,3,50,5,0,0
12452,-3.487602,51.451934,W01001105,62,2018-12-17,3,1,1,6,60,1,0,0
12453,-3.187097,51.505862,W01001770,62,2018-12-10,3,1,1,6,20,1,0,0
12454,-3.241517,51.411834,W01001071,62,2018-12-17,3,3,1,6,30,4,0,0
12455,-3.938201,51.637092,W01000788,62,2018-12-16,3,2,1,6,30,1,0,0
12456,-3.982694,51.653238,W01000836,62,2018-12-04,3,2,1,6,30,1,0,0
12457,-3.296103,51.673668,W01001290,62,2018-12-15,3,2,1,6,30,2,0,0
12458,-3.179984,51.479246,W01001941,62,2018-12-18,3,1,1,6,30,2,0,0
12459,-3.12507,51.526381,W01001808,62,2018-12-17,3,1,1,6,30,2,0,0
12460,-3.168154,51.516141,W01001733,62,2018-12-15,3,2,1,6,30,2,0,0
12461,-3.312604,51.40516,W01001119,62,2018-12-19,3,2,1,6,50,2,0,0
12462,-3.241525,51.478475,W01001737,62,2018-12-10,3,1,1,6,30,1,0,0
12463,-3.925068,51.659008,W01000814,62,2018-11-30,3,1,1,3,50,2,0,0
12464,-3.950073,51.619397,W01000745,62,2018-12-19,3,3,2,6,30,1,0,0
