id,longitude,latitude,lsoa_location,police_force,date,severity,vehicles,casualties,road_type,speed_limit,weather,road_conditions,human_crossing,geom
83,-3.994733,53.248553,W01000123,60,2016-01-25,2,4,1,3,70,1,0,0,0101000020346C00008DB3C627EF4B10414879DF3DA8D71641
84,-3.445219,53.23986,W01000247,60,2016-01-26,3,1,1,6,60,5,0,0,0101000020346C0000F1086B3A7A88124128F66551C3BA1641
85,-2.97348,53.061243,W01000343,60,2016-01-26,3,2,2,6,30,5,0,0,0101000020346C0000B9F98F5028701441F7356948F97B1541
86,-3.470534,53.323866,W01000227,60,2016-01-27,3,3,1,6,30,5,0,0,0101000020346C0000CC2ABF161671124130841D68504D1741
87,-2.966034,53.188568,W01000329,60,2016-01-28,3,2,1,6,60,1,0,0,0101000020346C00002AE92BB4F07A1441AEE776522E591641
88,-3.276492,53.064069,W01000207,60,2016-01-28,2,2,2,6,60,1,7,0,0101000020346C00000E68B9D4F63213414A06A2E0DD851541
89,-3.305954,53.273525,W01000340,60,2016-01-28,3,2,1,6,30,2,0,0,0101000020346C0000285F90FCC21A13415714D7CF7BF21641
90,-2.982468,53.168307,W01000255,60,2016-01-28,3,3,1,6,30,1,0,0,0101000020346C0000ACAEB1A14C691441A69AB17E32361641
91,-3.129433,53.242947,W01000292,60,2016-01-29,3,2,2,6,30,4,0,0,0101000020346C00006EBCD2E4D7D113417B6B940A33BA1641
92,-3.06978,53.09099,W01000310,60,2016-01-29,3,1,1,6,30,4,0,0,0101000020346C000083A28F02180C1441E0BA56AA1DB11541
93,-3.413624,53.185986,W01000194,60,2016-01-29,3,3,1,6,30,4,0,0,0101000020346C000059E42B3892A71241095D8204775C1641
94,-3.045816,53.009774,W01000410,60,2016-01-29,3,1,1,6,30,1,0,0,0101000020346C0000BE6CA4F41B231441F1E365B794231541
95,-3.022256,53.051593,W01000400,60,2016-01-29,2,2,6,6,30,4,0,0,0101000020346C00005DD55A42D83C1441808B6F71E96B1541
96,-3.381608,53.256167,W01000248,60,2016-01-30,3,1,1,6,60,1,0,0,0101000020346C0000C4A4078F5ACB124184C6C99ACBD51641
97,-3.413818,53.215524,W01000197,60,2016-01-30,3,2,1,6,60,1,0,0,0101000020346C0000A6C7912962A8124145FD892FCF8F1641
98,-3.1118,53.166217,W01000250,60,2016-01-30,3,1,1,6,30,1,0,0,0101000020346C00007BCA44DE27E213413BBC0D908A341641
99,-3.05101,53.215285,W01000283,60,2016-01-31,3,2,3,6,30,1,0,0,0101000020346C00009A076C22E82214418FAE0EDFDE881641
100,-2.934522,53.177214,W01000329,60,2016-01-31,3,2,2,6,30,1,1,0,0101000020346C0000C29430DC949B144110E8DB2C02451641
101,-3.4929,53.315947,W01000240,60,2016-01-31,3,2,1,6,20,1,0,0,0101000020346C0000C797E2E1855912416BA9336508401741
102,-2.934492,53.177224,W01000329,60,2016-02-01,3,2,1,6,30,1,0,0,0101000020346C0000CC2C3BF09C9B144156F92E8506451641
103,-2.983739,53.055675,W01000393,60,2016-01-23,3,2,2,1,30,2,0,0,0101000020346C0000E48E5D4A48651441550DFE4371721541
104,-3.412843,53.186364,W01000194,60,2016-02-02,3,2,1,6,30,1,0,0,0101000020346C00000425B94766A81241CD8766161B5D1641
105,-3.006756,53.161649,W01000256,60,2016-02-02,3,2,2,1,30,1,0,0,0101000020346C000012AB9982C44F14417FC28B21FA2A1641
106,-4.306751,53.259195,W01000041,60,2016-02-02,3,2,1,6,30,1,0,0,0101000020346C00008C7027D8920E0E419ED74390F0F31641
107,-3.726983,53.294699,W01000144,60,2016-02-02,3,2,1,6,30,2,0,0,0101000020346C0000C8621D92FC6411412517674598201741
108,-3.310452,53.114447,W01000242,60,2016-02-03,2,1,1,6,30,2,0,0,0101000020346C00005FFC7584021113410B91A61B12DE1541
109,-3.40938,53.338915,W01000214,60,2016-02-03,3,2,1,6,30,1,0,0,0101000020346C0000BABCB46F3EB112416877263030661741
110,-3.742333,53.299124,W01000183,60,2016-02-04,3,1,1,6,30,1,0,0,0101000020346C000024BA208B305511419B1A5D84AC281741
111,-3.75519,53.158769,W01000137,60,2016-02-05,3,1,1,6,60,5,0,0,0101000020346C0000DC8C5850D0411141C80078180F351641
112,-4.044583,52.69827,W01000085,60,2016-02-05,3,1,2,6,60,1,0,0,0101000020346C0000BF541B756BF90F4161C1E3FECA1C1341
113,-2.999371,53.082559,W01000391,60,2016-02-06,2,1,6,6,50,1,0,0,0101000020346C0000CA37FC4F905514418CA8BABB65A11541
114,-4.134319,53.227209,W01000092,60,2016-02-06,2,1,1,6,30,1,0,0,0101000020346C0000817AB572A4720F415789E816C4B61641
